id,name,year,month,day,type,enabled,plural,link,uuid,creation_ts,editing_ts
40,the Sack of Rome by the Landsknechts,1527,5,6,history,1,0,https://en.wikipedia.org/wiki/Sack_of_Rome_(1527),505e148b-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
41,the dissolution of the Order of the Templars,1312,0,,history,1,0,https://en.wikipedia.org/wiki/Knights_Templar,505e17a0-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
42,the first electoral victory by Silvio Berlusconi,1994,3,27,history,1,0,"https://en.wikipedia.org/wiki/Italian_general_election,_1994",505e17ef-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
43,the first oil crisis,1973,,,history,1,0,https://en.wikipedia.org/wiki/1973_oil_crisis,505e1923-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
44,"the release of ""Led Zeppelin IV""",1971,11,8,music,1,0,https://en.wikipedia.org/wiki/Led_Zeppelin_IV,505e1969-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
45,"the ""Lambada"" craze in Europe",1989,,,music,1,0,https://en.wikipedia.org/wiki/Lambada_(song),505e1b22-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
46,"the release of ""Volare"" by Domenico Modugno",1958,,,music,1,0,https://en.wikipedia.org/wiki/Volare_(song),505e1b66-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
47,the end of the Eastern Roman Empire,1453,,,history,1,0,https://en.wikipedia.org/wiki/Fall_of_Constantinople,505e1c92-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
48,the assassination of John Lennon,1980,12,8,music,1,0,https://en.wikipedia.org/wiki/Death_of_John_Lennon,505e1dbf-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
49,the atomic bomb on Hiroshima,1945,8,6,history,1,0,https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,505e1f72-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
50,the invasion of Poland by Nazi Germany,1939,9,1,history,1,0,https://en.wikipedia.org/wiki/Invasion_of_Poland,505e250d-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
51,the death of Joseph Stalin,1953,3,5,history,1,0,https://en.wikipedia.org/wiki/Joseph_Stalin,505e2551-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
52,the Bay of Pigs Invasion,1961,4,17,history,1,0,https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion,505e2580-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
53,the Great Wall Street Crash,1929,10,29,history,1,0,https://en.wikipedia.org/wiki/Wall_Street_Crash_of_1929,505e25cc-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
54,the release of Windows 95,1995,8,24,computer,1,0,https://en.wikipedia.org/wiki/Windows_95,505e25fd-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
55,the first email,1971,,,computer,1,0,https://en.wikipedia.org/wiki/Ray_Tomlinson,505e2629-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
56,the launch of the iPhone,2007,6,29,computer,1,0,https://en.wikipedia.org/wiki/IPhone,505e265e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
57,the launch of iMac,1998,8,15,computer,1,0,https://en.wikipedia.org/wiki/IMac_G3,505e268f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
58,the Chernobyl disaster,1986,4,26,history,1,0,https://en.wikipedia.org/wiki/Chernobyl_disaster,505e26bb-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
59,the Indian Ocean earthquake,2004,12,26,history,1,0,https://en.wikipedia.org/wiki/2004_Indian_Ocean_earthquake_and_tsunami,505e26e9-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
60,Hurricane Katrina,2005,8,29,history,1,0,https://en.wikipedia.org/wiki/Hurricane_Katrina,505e2716-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
61,the launch of the Euro,2002,1,1,history,1,0,https://en.wikipedia.org/wiki/Euro,505e2744-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
62,the launch of Facebook,2004,2,4,computer,1,0,https://en.wikipedia.org/wiki/Facebook,505e2776-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
63,the launch of YouTube,2005,2,14,computer,1,0,https://en.wikipedia.org/wiki/YouTube,505e2818-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
64,the launch of Twitter,2006,3,21,computer,1,0,https://en.wikipedia.org/wiki/Twitter,505e288c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
65,the release of WordPress,2003,5,27,computer,1,0,https://en.wikipedia.org/wiki/WordPress,505e28d8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
66,the release of Windows XP,2001,10,25,computer,1,0,https://en.wikipedia.org/wiki/Windows_XP,505e2923-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
67,the first Pentium CPU,1993,3,22,computer,1,0,https://en.wikipedia.org/wiki/P5_(microarchitecture),505e296f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
68,the release of the ZX Spectrum,1982,4,23,computer,1,0,https://en.wikipedia.org/wiki/ZX_Spectrum,505e29b8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
69,the release of the Commodore 64,1982,,,computer,1,0,https://en.wikipedia.org/wiki/Commodore_64,505e2a04-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
70,the release of Atari 2600,1977,9,11,computer,1,0,https://en.wikipedia.org/wiki/Atari_2600,505e2a51-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
71,the release of the Macintosh,1984,1,24,computer,1,0,https://en.wikipedia.org/wiki/Macintosh,505e2a99-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
72,the armistice of the Korean War,1953,7,27,history,1,0,https://en.wikipedia.org/wiki/Korean_Armistice_Agreement,505e2ae0-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
73,the first website,1990,12,20,computer,1,0,https://en.wikipedia.org/wiki/First_website_ever_made,505e2b29-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2018-02-14 16:05:46
74,the launch of the iPod,2001,11,10,computer,1,0,https://en.wikipedia.org/wiki/IPod,505e2b73-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
75,Deep Blue's victory against Kasparov,1997,5,11,computer,1,0,https://en.wikipedia.org/wiki/Deep_Blue_versus_Garry_Kasparov,505e2bbc-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
76,the Gutenberg Bible,1453,,,book,1,0,https://en.wikipedia.org/wiki/Gutenberg_Bible,505e2c05-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
77,the Lisbon Earthquake,1755,11,1,history,1,0,https://en.wikipedia.org/wiki/1755_Lisbon_earthquake,505e2c4e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
78,the Great Fire of London,1666,,,history,1,0,https://en.wikipedia.org/wiki/Great_Fire_of_London,505e2c99-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
79,the discovery of Uranus,1781,3,13,science,1,0,https://en.wikipedia.org/wiki/Uranus,505e2ce2-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
80,the discovery of Pluto,1930,2,18,science,1,0,https://en.wikipedia.org/wiki/Pluto,505e2d2a-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
81,the discovery of the first extrasolar planet,1989,,,science,1,0,https://en.wikipedia.org/wiki/HD_114762_b,505e2d70-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
82,the first man on the Moon,1969,7,21,science,1,0,https://en.wikipedia.org/wiki/Apollo_11,505e2db8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
83,Kepler's Supernova,1604,10,8,science,1,0,https://en.wikipedia.org/wiki/Kepler%27s_Supernova,505e2dff-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
84,the execution of Giordano Bruno,1600,2,17,history,1,0,https://en.wikipedia.org/wiki/Giordano_Bruno,505e2e47-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
85,the general theory of relativity by Albert Einstein,1915,,,science,1,0,https://en.wikipedia.org/wiki/General_relativity,505e2e8e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
86,the battle of Waterloo,1815,6,18,history,1,0,https://en.wikipedia.org/wiki/Battle_of_Waterloo,505e2ed8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
87,Willem Janszoon's arrival to Australia,1606,,,history,1,0,https://en.wikipedia.org/wiki/Janszoon_voyage_of_1605%E2%80%9306,505e2f1e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
88,Roald Amundsen's expedition to the South Pole,1911,12,14,science,1,0,https://en.wikipedia.org/wiki/Amundsen%27s_South_Pole_expedition,505e2f66-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
89,Cleopatra's death,-30,8,12,history,1,0,https://en.wikipedia.org/wiki/Cleopatra,505e2fb0-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
90,the Great Pyramid of Giza,-2560,,,building,1,0,https://en.wikipedia.org/wiki/Great_Pyramid_of_Giza,505e2ff5-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
91,the end of the Western Roman Empire,476,,,history,1,0,https://en.wikipedia.org/wiki/Fall_of_the_Western_Roman_Empire,505e303f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
92,the Trojan War,-1180,,,history,1,0,https://en.wikipedia.org/wiki/Trojan_War,505e3088-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
93,the founding of Rome,-753,4,21,history,1,0,https://en.wikipedia.org/wiki/Founding_of_Rome,505e30ce-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
94,the coronation of Charlemagne,800,12,25,history,1,0,https://en.wikipedia.org/wiki/Charlemagne,505e30fd-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
95,the Battle of Marathon,-490,,,history,1,0,https://en.wikipedia.org/wiki/Battle_of_Marathon,505e312b-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
96,the Battle of Thermopylae,-480,,,history,1,0,https://en.wikipedia.org/wiki/Battle_of_Thermopylae,505e3158-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
97,the sack of Rome by the Visigoths,410,8,24,history,1,0,https://en.wikipedia.org/wiki/Sack_of_Rome_(410),505e3185-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
98,"""Clerks"" by Kevin Smith",1994,,,film,1,0,https://en.wikipedia.org/wiki/Clerks,505e31b2-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
99,"""Vertigo"" by Alfred Hitchcock",1958,,,film,1,0,https://en.wikipedia.org/wiki/Vertigo_(film),505e31e1-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
100,the theory of the Big Bang by Georges Lemaître,1927,,,science,1,0,https://en.wikipedia.org/wiki/Big_Bang,505e320e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
101,"the release of ""Never Mind the Bollocks, Here's the Sex Pistols""",1977,10,28,music,1,0,"https://en.wikipedia.org/wiki/Never_Mind_the_Bollocks,_Here's_the_Sex_Pistols",505e323c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
102,"the release of ""Kind of Blue"" by Miles Davis",1959,8,17,music,1,0,https://en.wikipedia.org/wiki/Kind_of_Blue,505e326e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
103,"Dante's ""Divine Comedy""",1321,,,book,1,0,https://en.wikipedia.org/wiki/Divine_Comedy,505e329a-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
104,the death of William Shakespeare,1616,4,23,book,1,0,https://en.wikipedia.org/wiki/William_Shakespeare,505e32c7-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
105,the return of Marco Polo from Asia,1295,,,history,1,0,https://en.wikipedia.org/wiki/Marco_Polo,505e32f4-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
106,the first Olympic Games of the modern era,1896,4,6,sport,1,1,https://en.wikipedia.org/wiki/1896_Summer_Olympics,505e3322-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
107,the Tiananmen Square protests,1989,6,4,history,1,0,https://en.wikipedia.org/wiki/Tiananmen_Square_protests_of_1989,505e334e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
108,the Prague Spring,1968,8,21,history,1,0,https://en.wikipedia.org/wiki/Prague_Spring,505e337c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
109,the trial of Socrates,-399,,,history,1,0,https://en.wikipedia.org/wiki/Trial_of_Socrates,505e33aa-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
110,the death of Alexander the Great,-323,6,11,history,1,0,https://en.wikipedia.org/wiki/Alexander_the_Great,505e33d8-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
111,the King James Bible,1611,,,book,1,0,https://en.wikipedia.org/wiki/King_James_Version,505e3406-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
112,"the release of ""Pong""",1972,11,29,computer,1,0,https://en.wikipedia.org/wiki/Pong,505e3433-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
113,"the release of ""Pac-Man""",1980,5,22,computer,1,0,https://en.wikipedia.org/wiki/Pac-Man,505e3460-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
114,"""Titanic"" by James Cameron",1997,,,film,1,0,https://en.wikipedia.org/wiki/Titanic_(1997_film),505e348c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
115,the first jazz record,1917,3,7,music,1,0,https://en.wikipedia.org/wiki/Original_Dixieland_Jass_Band,505e34b9-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-05-31 18:31:10
116,the death of Robert Johnson,1938,8,11,music,1,0,https://en.wikipedia.org/wiki/Robert_Johnson,505e34e5-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
117,"""The Blues Brothers"" by John Landis",1980,,,film,1,0,https://en.wikipedia.org/wiki/The_Blues_Brothers_(film),505e3513-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
118,"the release of ""Rollin' Stone"" by Muddy Waters",1950,,,music,1,0,https://en.wikipedia.org/wiki/Rollin%27_Stone,505e3543-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
119,"""The Rite of Spring"" by Igor Stravinsky",1913,5,29,music,1,0,https://en.wikipedia.org/wiki/The_Rite_of_Spring,505e3572-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
120,the first railway journey,1804,2,21,science,1,0,https://en.wikipedia.org/wiki/Richard_Trevithick,505e359f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
121,"""Rock Around the Clock"" by Bill Haley & His Comets",1954,5,20,music,1,0,https://en.wikipedia.org/wiki/Rock_Around_the_Clock,505e35cd-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
122,"the release of ""Thriller"" by Michael Jackson",1982,11,30,music,1,0,https://en.wikipedia.org/wiki/Thriller_(Michael_Jackson_album),505e35fc-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
123,the birth of Dolly the sheep,1996,7,5,science,1,0,https://en.wikipedia.org/wiki/Dolly_(sheep),543993a2-3f37-409f-b79b-510226b22c42,2017-02-20 14:28:31,2017-02-20 18:31:04
124,the March on Rome,1922,10,22,history,1,0,https://en.wikipedia.org/wiki/March_on_Rome,88142436-afa8-4391-90f0-a71155cc439b,2017-02-20 16:29:50,2017-02-20 18:31:12
125,the Bolshevik Revolution,1917,11,7,history,1,0,https://en.wikipedia.org/wiki/October_Revolution,7022a124-f92d-11e6-a143-1866daec3694,2017-02-22 13:23:01,2017-02-22 13:33:43
126,"""Nighthawks"" by Edward Hopper",1942,,,art,1,0,https://en.wikipedia.org/wiki/Nighthawks,d7011941-f939-11e6-a143-1866daec3694,2017-02-22 15:02:29,2017-02-22 15:02:29
127,the assassination of Gandhi,1948,1,30,history,1,0,https://en.wikipedia.org/wiki/Mahatma_Gandhi,7a614896-f92d-11e6-a143-1866daec3694,2017-02-22 13:33:22,2017-02-22 13:34:00
128,Nadia Comaneci's perfect ten,1976,7,18,sport,1,0,https://en.wikipedia.org/wiki/Nadia_Com%C4%83neci,63e88d27-f92e-11e6-a143-1866daec3694,2017-02-22 13:40:32,2017-02-22 14:21:12
129,"the first episode of ""Teletubbies""",1997,3,31,pop culture,1,0,https://en.wikipedia.org/wiki/Teletubbies,5b129e87-f933-11e6-a143-1866daec3694,2017-02-22 14:00:46,2017-02-26 16:03:23
130,the first underground railway,1863,,,history,1,0,https://en.wikipedia.org/wiki/Metropolitan_Railway,b7022f44-f935-11e6-a143-1866daec3694,2017-02-22 14:32:58,2017-02-22 14:33:29
131,the first Academy Awards ceremony,1929,5,16,film,1,0,https://en.wikipedia.org/wiki/1st_Academy_Awards,5d80d45d-fa14-11e6-a143-1866daec3694,2017-02-23 17:06:45,2017-02-23 17:06:45
132,Commodore Perry's arrival in Edo Bay,1853,7,8,history,1,0,https://en.wikipedia.org/wiki/Perry_Expedition,d47bc509-fa25-11e6-a143-1866daec3694,2017-02-23 19:11:46,2017-02-23 19:11:46
133,the Hindenburg disaster,1937,5,6,history,1,0,https://en.wikipedia.org/wiki/Hindenburg_disaster,06abd8b2-fa26-11e6-a143-1866daec3694,2017-02-23 19:13:10,2017-02-23 19:13:10
134,the destruction of Pompeii,79,8,24,history,1,0,https://en.wikipedia.org/wiki/Eruption_of_Mount_Vesuvius_in_79,6fed0001-fa26-11e6-a143-1866daec3694,2017-02-23 19:16:07,2017-02-23 19:16:07
135,the eruption of Mount St. Helens,1980,5,18,science,1,0,https://en.wikipedia.org/wiki/1980_eruption_of_Mount_St._Helens,a0c5d1df-fa26-11e6-a143-1866daec3694,2017-02-23 19:17:29,2017-02-23 19:17:29
136,"the first episode of ""The Muppet Show""",1976,9,5,pop culture,1,0,https://en.wikipedia.org/wiki/The_Muppet_Show,2c8c38a4-fa27-11e6-a143-1866daec3694,2017-02-23 19:21:23,2017-02-26 16:03:23
137,"""Tron"" with Jeff Bridges",1982,,,film,1,0,https://en.wikipedia.org/wiki/Tron,c3ab3b8e-fa27-11e6-a143-1866daec3694,2017-02-23 19:25:37,2017-02-23 19:25:37
138,"""The Matrix"" by the Wachowskis",1999,,,film,1,0,https://en.wikipedia.org/wiki/The_Matrix,de6b5145-fa27-11e6-a143-1866daec3694,2017-02-23 19:26:22,2017-02-23 19:26:22
139,"""Toy Story"" by John Lasseter",1995,,,film,1,0,https://en.wikipedia.org/wiki/Toy_Story,6b844185-fa28-11e6-a143-1866daec3694,2017-02-23 19:30:19,2017-02-23 19:30:19
140,"""Pulp Fiction"" by Quentin Tarantino",1994,,,film,1,0,https://en.wikipedia.org/wiki/Pulp_Fiction,b8273b52-fa28-11e6-a143-1866daec3694,2017-02-23 19:32:27,2017-02-23 19:32:27
141,"""Enter the Dragon"" with Bruce Lee",1973,,,film,1,0,https://en.wikipedia.org/wiki/Bruce_Lee,03b06c9a-fa29-11e6-a143-1866daec3694,2017-02-23 19:34:34,2017-02-23 19:34:34
142,the discovery of Lucy,1974,11,24,science,1,0,https://en.wikipedia.org/wiki/Lucy_(Australopithecus),62a3632e-fa29-11e6-a143-1866daec3694,2017-02-23 19:37:13,2017-02-23 19:37:13
143,the discovery of Ötzi,1991,9,19,science,1,0,https://en.wikipedia.org/wiki/%C3%96tzi,8f4f05e8-fa29-11e6-a143-1866daec3694,2017-02-23 19:38:28,2017-02-23 19:38:28
144,the USSR victory over USA in the Olympic basketball final,1972,9,9,sport,1,0,https://en.wikipedia.org/wiki/1972_Olympic_Men%27s_Basketball_Final,05386bc7-fa2b-11e6-a143-1866daec3694,2017-02-23 19:48:55,2017-02-23 20:01:57
145,the NBA Dream Team winning the Olympic gold ,1992,8,8,sport,1,0,https://en.wikipedia.org/wiki/1992_United_States_men%27s_Olympic_basketball_team,65ee830c-fa2c-11e6-a143-1866daec3694,2017-02-23 19:58:47,2017-02-23 19:58:47
146,the eruption of Mount Pinatubo,1991,6,15,science,1,0,https://en.wikipedia.org/wiki/Mount_Pinatubo,7e0ff5e7-fa2e-11e6-a143-1866daec3694,2017-02-23 20:13:47,2017-02-23 20:13:47
147,the descent of the Trieste in the Mariana Trench,1960,1,23,science,1,0,https://en.wikipedia.org/wiki/Project_Nekton,c384453c-fa2f-11e6-a143-1866daec3694,2017-02-23 20:22:53,2017-02-23 20:22:53
148,the end of the Vietnam War,1975,4,30,history,1,0,https://en.wikipedia.org/wiki/Vietnam_War,f3542655-fa6c-11e6-a143-1866daec3694,2017-02-24 03:40:52,2017-02-24 04:03:21
149,"""The Starry Night"" by Vincent Van Gogh",1889,,,art,1,0,https://en.wikipedia.org/wiki/The_Starry_Night,c550c272-fa72-11e6-a143-1866daec3694,2017-02-24 03:49:34,2017-02-24 04:22:32
150,Abebe Bikila's first Olympic gold medal in the marathon event,1960,9,10,sport,1,0,https://en.wikipedia.org/wiki/Abebe_Bikila,9517054f-fa72-11e6-a143-1866daec3694,2017-02-24 04:21:11,2017-02-24 04:21:11
151,"""The Scream"" by Edvard Munch",1893,,,art,1,0,https://en.wikipedia.org/wiki/The_Scream,5730be75-a602-4a90-87dc-197c0db211b8,2017-02-24 19:15:22,2017-02-24 19:15:47
152,the discovery of the DNA structure,1953,2,28,science,1,0,https://en.wikipedia.org/wiki/DNA,c1f632ed-faf2-11e6-a143-1866daec3694,2017-02-24 19:38:42,2018-02-02 19:26:08
153,"""Campbell's Soup Cans"" by Andy Warhol",1962,,,art,1,0,https://en.wikipedia.org/wiki/Campbell%27s_Soup_Cans,ba216cc1-3744-415d-a27b-0d1ca9bc120e,2017-02-24 19:44:43,2017-02-24 19:45:06
154,Magna Carta,1215,6,15,history,1,0,https://en.wikipedia.org/wiki/Magna_Carta,5644bcf4-44e1-432d-b1a8-d7da758b92ca,2017-02-25 07:17:14,2017-02-25 07:18:39
155,the Great Schism,1054,,,history,1,0,https://en.wikipedia.org/wiki/East%E2%80%93West_Schism,5cc053b6-fb73-11e6-a143-1866daec3694,2017-02-25 10:59:17,2017-02-25 10:59:17
156,the Battle of the Little Bighorn,1876,6,25,history,1,0,https://en.wikipedia.org/wiki/Battle_of_the_Little_Bighorn,ce3f9ac5-fb73-11e6-a143-1866daec3694,2017-02-25 11:02:28,2017-02-25 11:02:50
157,"""And Then There Were None"" by Agatha Christie",1939,11,6,book,1,0,https://en.wikipedia.org/wiki/And_Then_There_Were_None,1739e625-fb74-11e6-a143-1866daec3694,2017-02-25 11:04:30,2017-02-25 11:04:30
158,the first Tour de France,1903,,,sport,1,0,https://en.wikipedia.org/wiki/Tour_de_France,a2b166bf-fb74-11e6-a143-1866daec3694,2017-02-25 11:08:24,2017-02-25 11:08:24
159,the first Nobel Prizes,1901,,,science,1,1,https://en.wikipedia.org/wiki/Nobel_Prize,e20abaad-fb75-11e6-a143-1866daec3694,2017-02-25 11:17:20,2017-02-25 11:17:20
160,the First Council of Nicaea,325,,,history,1,0,https://en.wikipedia.org/wiki/First_Council_of_Nicaea,d5a46528-c060-48ef-a594-79356628ccb1,2017-02-25 13:51:44,2017-02-25 13:52:55
161,the death of Joan of Arc,1431,5,30,history,1,0,https://en.wikipedia.org/wiki/Joan_of_Arc,33e09542-fbbe-11e6-a143-1866daec3694,2017-02-25 19:55:01,2017-02-25 19:55:01
162,"""Critique of Pure Reason"" by Immanuel Kant",1781,,,book,1,0,https://en.wikipedia.org/wiki/Critique_of_Pure_Reason,1f078ab4-fbc2-11e6-a143-1866daec3694,2017-02-25 20:23:04,2017-02-25 20:23:04
163,the Bloody Sunday in Derry,1972,1,30,history,1,0,https://en.wikipedia.org/wiki/Bloody_Sunday_(1972),7fb1f8b6-fbc2-11e6-a143-1866daec3694,2017-02-25 20:25:46,2017-02-25 20:25:46
164,the Munich Putsch,1923,11,8,history,1,0,https://en.wikipedia.org/wiki/Beer_Hall_Putsch,ea8bcfd8-fc21-11e6-a143-1866daec3694,2017-02-26 07:48:48,2017-02-26 07:48:48
165,the Treaty of Versailles,1919,6,28,history,1,0,https://en.wikipedia.org/wiki/Treaty_of_Versailles,007b4ddc-fc22-11e6-a143-1866daec3694,2017-02-26 07:49:24,2017-02-26 07:49:24
166,the attack on Pearl Harbor,1941,12,7,history,1,0,https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor,1941c0d4-fc22-11e6-a143-1866daec3694,2017-02-26 07:50:06,2017-02-26 07:50:06
167,the Civil Rights Act,1964,7,2,history,1,0,https://en.wikipedia.org/wiki/Civil_Rights_Act_of_1964,3546ea01-fc22-11e6-a143-1866daec3694,2017-02-26 07:50:53,2017-02-26 07:50:53
168,the trial of Galileo Galilei,1633,6,22,science,1,0,https://en.wikipedia.org/wiki/Galileo_affair,1ffab8e7-fc23-11e6-a143-1866daec3694,2017-02-26 07:57:27,2017-02-26 07:57:27
