id,name,year,month,day,type,enabled,plural,link,uuid,creation_ts,editing_ts
276,the collapse of the Tacoma Narrows Bridge,1940,11,7,building,1,0,https://en.wikipedia.org/wiki/Tacoma_Narrows_Bridge_(1940),6cfb02ec-fcfa-11e6-a143-1866daec3694,2017-02-27 09:38:38,2017-02-27 09:38:38
277,the D. B. Cooper hijacking,1971,11,24,pop culture,1,0,https://en.wikipedia.org/wiki/D._B._Cooper,8dce2422-fcfa-11e6-a143-1866daec3694,2017-02-27 09:39:33,2017-02-27 09:39:33
278,"""À bout de souffle"" by Jean-Luc Godard",1960,,,film,1,0,https://en.wikipedia.org/wiki/Breathless_(1960_film),31e07997-fcfb-11e6-a143-1866daec3694,2017-02-27 09:44:08,2017-02-27 09:44:08
279,"""Modern Times"" by Charlie Chaplin",1936,,,film,1,0,https://en.wikipedia.org/wiki/Modern_Times_(film),4fd2a4d1-fcfb-11e6-a143-1866daec3694,2017-02-27 09:44:58,2017-02-27 09:44:58
280,"the first strip of ""Calvin and Hobbes""",1985,11,18,pop culture,1,0,https://en.wikipedia.org/wiki/Calvin_and_Hobbes,c27e5d00-fcfb-11e6-a143-1866daec3694,2017-02-27 09:48:11,2017-02-27 09:48:11
281,"the first strip of ""Peanuts""",1950,10,2,pop culture,1,0,https://en.wikipedia.org/wiki/Peanuts,db1f62f6-fcfb-11e6-a143-1866daec3694,2017-02-27 09:48:52,2017-02-27 09:48:52
282,"""The Name of the Rose"" by Umberto Eco",1980,,,book,1,0,https://en.wikipedia.org/wiki/The_Name_of_the_Rose,b5e018a1-fcfc-11e6-a143-1866daec3694,2017-02-27 09:54:59,2017-02-27 09:54:59
283,"the first episode of ""Monty Python's Flying Circus""",1969,10,5,pop culture,1,0,https://en.wikipedia.org/wiki/Monty_Python%27s_Flying_Circus,dd7f8e83-fd03-11e6-a143-1866daec3694,2017-02-27 10:46:12,2017-02-27 10:46:12
284,the Roswell UFO incident,1947,7,8,pop culture,1,0,https://en.wikipedia.org/wiki/Roswell_UFO_incident,d2642cee-fd04-11e6-a143-1866daec3694,2017-02-27 10:53:03,2017-02-27 10:53:03
285,"the first episode of ""The Twilight Zone""",1959,10,2,pop culture,1,0,https://en.wikipedia.org/wiki/The_Twilight_Zone_(1959_TV_series),99006cae-fd05-11e6-a143-1866daec3694,2017-02-27 10:58:36,2017-02-27 10:58:36
